OBSID1,OBSID2,STUDYID,CRN_SUBCMP,DBDOI,DBVERNO,CNTRY,REGION_INT,BASIN,AHGFL1,REFDBID,OAID,AUTHOR,PUBYEAR,REFID,REFDOI,MATERIAL,SIZEMIN,SIZEMAX,PROJEPSGID,PROJECTION,AREA,ELEV_AVE,ELEV_STD,SLP_AVE,SLP_STD,SMP_DAY,SMP_MONTH,SMP_YEAR,SMP_COMMT,BE10NP,BE10NP_ERR,BE10EP,BE10EP_ERR,BESTND,BECORR,BEAMS,BE10NC,BE10NC_ERR,EBE_MMKYR,EBE_ERR,AL26NP,AL26NP_ERR,AL26EP,AL26EP_ERR,ALSTND,ALCORR,ALAMS,AL26NC,AL26NC_ERR,EAL_MMKYR,EAL_ERR,IGSNID,CENTR_LAT,ATM_PRESS,QTZ_PCNT,GLA_KM2,GLA_PCNT,BEPROD,BETOPO,BESELF,BESNOW,BETOTS,EBE_GCMYR,ERRBE_AMS,ERRBE_MUON,ERRBE_PROD,ERRBE_TOT,EBEL,EBEL_INT,EBEL_EXT,EBELNS,EBELNS_INT,EBELNS_EXT,EBEGLA,EBEGLA_ERR,EBE_DIFF,ALPROD,ALTOPO,ALSELF,ALSNOW,ALTOTS,EAL_GCMYR,ERRAL_AMS,ERRAL_MUON,ERRAL_PROD,ERRAL_TOT,EALL,EALL_INT,EALL_EXT,EALLNS,EALLNS_INT,EALLNS_EXT,REGION_REG,DIV_ADMIN,AHGFL2,RIVNAME,RIVDIV,IBRACODE,IBRAREGION,SLP_deg,rock_major,rock_count,MAP,MAT,AI,NDVI_STS
S141WTS002,Yan,S141,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),IND,Transhimalaya,Tsomoriri lake,NA,Munack:2016indus,OAID-000111,Munack,2016,Quaternary_Sci_Rev_149,10.1016/j.quascirev.2016.07.030,Sa,125,500,32643,WGS84_UTM_43N,270.3,5513.65,254.66,276.12,149.41,-9999,8,2011,NA,2658000,69000,25.46,0.67,07KNSTD,1,ANSTO,2658000,69000,23.53,4.24,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,33.0618,512.69,1,25.96,9.62,24.41,0.991,1,1,24.187,0.00624,0.00016,0.00006,0.00111,0.00112,26,0.68,1.69,26.2,0.69,1.71,20.94,3.78,11.65,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,15.4358997,mt,51,176.1549988,-8.43993,1909.099976,0.0962324
S075WTS009,WR5,S075,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),USA,Washington Cascades (WA),ND,NA,Moon:2011washington,OAID-000108,Moon,2011,Nat_Geosci_4,10.1038/ngeo1159,Sa,250,500,32610,WGS84_UTM_10N,238.04,1348,329.42,417.32,206.69,-9999,-9999,-9999,NA,36300,1000,280.83,20.64,07KNSTD,1,LLNL-CAMS,36300,1000,244.15,47.62,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,47.747,858.05,100,0.03,0.01,3.252,0.973,1,1,3.167,0.0647,0.00179,0.00369,0.01193,0.01262,242,6.67,15.8,248,6.83,16.2,244.08,47.61,0.03,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,22.6518002,mt,72,1644.180054,3.9242001,17418.5,0.737846
S304WTS005,DB05,S304,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),ITA,W ITA Alps,Dora Baltea (trib.),NA,Serra:2022dora,OAID-001022,Serra,2022,Earth_Surf_Dynamics_10,10.5194/esurf-10-493-2022,Sa,250,400,32632,WGS84_UTM_32N,257.45,2457.29,564.55,545.39,255.45,-9999,-9999,-9999,NA,20500,1000,850,60,S2007N,1,ETH-Zurich,20500,1000,903.41,170.07,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,45.6055,742.59,30,20.93,8.13,7.204,0.95,1,1,6.871,0.2394,0.01171,0.00733,0.0429,0.04507,984,48,75.3,1030,50.4,79.1,788.98,148.9,13.52,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,28.6075993,mt,74,1142.030029,0.114006,13731.2998,0.407215
S293WTS010,T10,S293,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,E Himalayan Syntaxis,Parlung tributary,NA,Zhang:2021paired,OAID-001017,Zhang,2021,Earth_Surf_Proc_Land_46,10.1002/esp.5105,Sa,250,500,32646,WGS84_UTM_46N,284.95,4791.19,411.79,489.29,278.84,-9999,8,2016,NA,49700,2300,722,66,07KNSTD,1,Tianjin,49700,2300,818.55,149.97,333200,16900,-9999.99,-9999.99,KNSTD,1,Tianjin,333200,16900,888.72,163.75,NA,29.7285,564.56,78,39.53,13.9,16.059,0.956,1,1,15.4,0.21692,0.01007,0.0034,0.0383,0.03974,649,30,48.7,676,31.3,50.7,681.68,124.99,18.25,16.059,0.956,1,1,15.4,0.23551,0.01199,0.00345,0.04156,0.04339,647,32.8,64.6,674,34.2,67.3, , , , , , , ,26.0720005,pa,78,668.1099854,-2.4549699,8520.120117,0.201538
S101WTS021,Nurla,S101,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),IND,Transhimalaya,Upper Indus,NA,Munack:2014outpaced,OAID-000111,Munack,2014,Geol_Soc_Am_Bull_126,10.1130/B30979.1,Sa,125,500,32644,WGS84_UTM_44N,208.89,4721.4,633.09,464.6,205.1,-9999,8,2010,NA,1360197,43314,35.18,3.06,S2007,0.9124,ETH-Zurich,1360197,43314,33.97,6.16,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,34.4122,564.04,100,16.32,7.83,18.317,0.967,1,1,17.725,0.009,0.00029,0.00011,0.0016,0.00163,36.3,1.17,2.45,37.4,1.2,2.53,30.45,5.53,10.93,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,24.9195995,pa,85,110.887001,-4.8707199,1140.030029,0.109365
S088WTS004,Sav-S06,S088,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),ITA,Central Eastern Italian Alps,Zielbach catchment,NA,Savi:2014zielbach,OAID-000146,Savi,2014,Quat_Geochronol_19,10.1016/j.quageo.2013.01.006,Sa,250,500,32632,WGS84_UTM_32N,22.65,2629.99,319.63,513.4,207.7,-9999,-9999,-9999,NA,64100,2860,307,14,S2007,0.9124,ETH-Zurich,64100,2860,317.63,59.27,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,46.7206,734.18,0,0.91,4.02,7.79,0.972,1,1,7.587,0.08417,0.00377,0.00236,0.01506,0.01571,341,15.2,25.3,351,15.7,26,300.36,56.08,5.59,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,27.1760006,mt,100,859.3499756,-1.99292,13534.90039,0.376242
S143WTS027,P2,S143,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),ITA,Po floodplain,Tanaro Riv.,NA,Wittmann:2016po,OAID-000178,Wittmann,2016,Earth_Planet_Sc_Lett_452,10.1016/j.epsl.2016.07.017,Sa,63,125,32632,WGS84_UTM_32N,8119.22,636.61,595.36,203.05,190.9,-9999,-9999,-9999,NA,32100,1400,149.4,6.6,07KNSTD,1,Cologne,32100,1400,173.57,36.81,203000,29000,-9999.99,-9999.99,KNSTD,1,Cologne,203000,29000,203.81,52,NA,44.5885,922.48,42,1.45,0.02,1.944,0.99,1,1,1.908,0.046,0.00202,0.00385,0.00873,0.00975,172,7.52,12.6,174,7.58,12.8,173.47,36.79,0.06,1.944,0.99,1,1,1.908,0.05401,0.00794,0.00451,0.01032,0.01378,195,28,32.6,197,28.2,32.9, , , , , , , ,11.4778996,sc,49,819.0120239,11.2414999,7464.910156,0.700805
S319WTS009,TS10-23,S319,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,E Tianshan,Manas,NA,Charreau:2023unsteady,OAID-000026,Charreau,2023,Tectonophysics_848,10.1016/j.tecto.2022.229702,Sa,200,800,32644,WGS84_UTM_44N,4482.41,3391.78,675.62,507.06,242.28,-9999,-9999,2010,NA,126000,5000,160,10,07KNSTD,1,ASTER,126000,5000,244.24,44.69,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,43.5158,660.75,62,537.08,12.01,12.097,0.958,1,1,11.603,0.06472,0.00258,0.00126,0.01149,0.01184,241,9.59,17.2,251,9.98,17.9,201.25,36.9,19.3,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,26.8876991,sc,27,347.8699951,-5.5443401,5638.930176,0.244758
S094WTS010,CHO0823S,S094,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHL,Chilean Andes,Choapa,NA,Carretier:2013andes,OAID-000022,Carretier,2013,Geology_41,10.1130/G33735.1,Sa,0,0,32719,WGS84_UTM_19S,5986.43,2000.19,1123.31,358.18,186.13,-9999,-9999,-9999,NA,218067,4725,50,5,07KNSTD,1,ASTER,218067,4725,55.07,10.4,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,-31.7758,766.78,86,8.32,0.14,4.518,0.981,1,1,4.422,0.01459,0.00032,0.00058,0.00267,0.00276,51.6,1.13,3.26,52.5,1.14,3.32,54.9,10.37,0.32,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,19.7064991,va,25,225.0630035,7.8584399,1570.359985,0.242102
S274WTS010,11PH018,S274,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),USA,Alaska Range,Skwentna Riv.,NA,Matmon:2020alaska,OAID-000099,Matmon,2020,Geosphere_16,10.1130/ges02190.1,Sa,250,850,32606,WGS84_UTM_06N,4558.91,1081.14,567.72,355.77,270.86,-9999,-9999,-9999,NA,8290,2890,897.2,331.9,07KNSTD,1,ASTER,8290,2890,1061.36,468.63,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,61.8543,866.35,84,810.9,17.79,3.246,0.972,1,1,3.134,0.28126,0.11171,0.01631,0.05175,0.12419,1160,403,409,1180,413,419,773.06,342.53,31.43,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,19.5839996,ss,41,608.3549805,-3.0713601,10867.09961,0.440113
